rodada,data,dia da semana,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,perdedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado,edição
1,2003-03-29,Sábado,16:00,Guarani,Vasco,,,,,Guarani,Vasco, Brinco de Ouro,4,2,SP,RJ,2003
1,2003-03-29,Sábado,16:00,Athletico-PR,Gremio,,,,,Athletico-PR,Gremio, Arena da Baixada,2,0,PR,RS,2003
1,2003-03-30,Domingo,16:00,Flamengo,Coritiba,,,,,Empate,Empate, Maracanã,1,1,RJ,PR,2003
1,2003-03-30,Domingo,16:00,Goias,Paysandu,,,,,Empate,Empate, Serra Dourada,2,2,GO,PA,2003
1,2003-03-30,Domingo,16:00,Internacional,Ponte Preta,,,,,Empate,Empate, Beira Rio,1,1,RS,SP,2003
1,2003-03-30,Domingo,16:00,Criciuma,Fluminense,,,,,Criciuma,Fluminense, Heriberto Hulse,2,0,SC,RJ,2003
1,2003-03-30,Domingo,16:00,Juventude,Sao Paulo,,,,,Empate,Empate, Alfredo Jaconi,2,2,RS,SP,2003
1,2003-03-30,Domingo,16:00,Fortaleza,Bahia,,,,,Empate,Empate, Castelão,0,0,CE,BA,2003
1,2003-03-30,Domingo,16:00,Cruzeiro,Sao Caetano,,,,,Empate,Empate, Mineirão,2,2,MG,SP,2003
1,2003-03-30,Domingo,16:00,Vitoria,Figueirense,,,,,Empate,Empate, Barradão,1,1,BA,SC,2003
1,2003-03-30,Domingo,18:00,Santos,Parana,,,,,Empate,Empate, Vila Belmiro,2,2,SP,PR,2003
1,2003-03-30,Domingo,18:00,Corinthians,Atletico-MG,,,,,Atletico-MG,Corinthians, Pacaembu,0,3,SP,MG,2003
2,2003-04-05,Sábado,16:00,Fluminense,Fortaleza,,,,,Empate,Empate, Maracanã,1,1,RJ,CE,2003
2,2003-04-05,Sábado,16:00,Atletico-MG,Santos,,,,,Empate,Empate, Mineirão,0,0,MG,SP,2003
2,2003-04-05,Sábado,16:00,Coritiba,Internacional,,,,,Internacional,Coritiba, Couto Pereira,0,1,PR,RS,2003
2,2003-04-05,Sábado,18:00,Gremio,Guarani,,,,,Gremio,Guarani, Olímpico,3,1,RS,SP,2003
2,2003-04-06,Domingo,16:00,Bahia,Flamengo,,,,,Flamengo,Bahia, Fonte Nova,1,2,BA,RJ,2003
2,2003-04-06,Domingo,16:00,Figueirense,Corinthians,,,,,Empate,Empate, Orlando Scarpelli,3,3,SC,SP,2003
2,2003-04-06,Domingo,16:00,Paysandu,Vitoria,,,,,Vitoria,Paysandu, Mangueirão,1,2,PA,BA,2003
2,2003-04-06,Domingo,16:00,Ponte Preta,Juventude,,,,,Ponte Preta,Juventude, Moisés Lucarelli,1,0,SP,RS,2003
2,2003-04-06,Domingo,16:00,Parana,Athletico-PR,,,,,Parana,Athletico-PR, Pinheirão,3,0,PR,PR,2003
2,2003-04-06,Domingo,16:00,Sao Caetano,Criciuma,,,,,Sao Caetano,Criciuma, Anacleto Campanella,3,2,SP,SC,2003
2,2003-04-06,Domingo,18:00,Sao Paulo,Cruzeiro,,,,,Cruzeiro,Sao Paulo, Morumbi,2,4,SP,MG,2003
2,2003-04-06,Domingo,18:00,Vasco,Goias,,,,,Vasco,Goias, São Januário,6,4,RJ,GO,2003
