time,jogos,pontos,vitórias,empates,derrotas,gols pró,gols sofridos,saldo de gols,aproveitamento
America-MG,228,235,58,61,109,227,332,-105,34.36
America-RN,38,17,4,5,29,24,80,-56,14.91
Athletico-PR,780,1116,309,189,282,1032,965,67,47.69
Atletico-GO,266,295,72,79,115,288,363,-75,36.97
Atletico-MG,779,1180,327,199,253,1131,978,153,50.49
Avai,266,271,66,73,127,274,415,-141,33.96
Bahia,426,502,127,121,178,480,565,-85,39.28
Barueri,38,49,12,13,13,59,52,7,42.98
Botafogo-RJ,696,931,247,190,259,876,881,-5,44.59
Bragantino,152,215,55,50,47,203,180,23,47.15
Brasiliense,42,42,10,12,20,49,68,-19,33.33
CSA,38,32,8,8,22,24,58,-34,28.07
Ceara,266,308,72,92,102,277,317,-40,38.6
Chapecoense,265,287,70,77,118,261,359,-98,36.1
Corinthians,780,1207,326,229,225,999,832,167,51.58
Coritiba,590,718,189,151,250,693,787,-94,40.56
Criciuma,168,188,50,38,80,194,264,-70,37.3
Cruzeiro,704,1077,304,165,235,1013,850,163,50.99
Cuiaba,114,139,34,37,43,105,118,-13,40.64
Figueirense,438,550,142,124,172,530,622,-92,41.86
Flamengo,818,1283,354,221,243,1169,962,207,52.28
Fluminense,818,1179,322,213,283,1098,1032,66,48.04
Fortaleza,316,403,108,79,129,374,421,-47,42.51
Goias,590,769,209,142,239,789,839,-50,43.45
Gremio,738,1133,316,185,237,1019,834,185,51.17
Gremio Prudente,38,31,7,10,21,39,64,-25,27.19
Guarani,130,147,36,39,55,140,180,-40,37.69
Internacional,780,1219,339,202,239,1041,852,189,52.09
Ipatinga,38,35,9,8,21,37,67,-30,30.7
Joinville,38,31,7,10,21,26,48,-22,27.19
Juventude,286,331,85,76,125,333,440,-107,38.58
Nautico,190,200,54,38,98,224,318,-94,35.09
Palmeiras,734,1177,329,190,215,1077,840,237,53.45
Parana,248,304,83,55,110,312,369,-57,40.86
Paysandu,134,154,41,31,62,193,245,-52,38.31
Ponte Preta,362,433,114,91,157,414,534,-120,39.87
Portuguesa,114,131,31,38,45,137,157,-20,38.3
Santa Cruz,76,59,15,14,47,86,145,-59,25.88
Santo Andre,38,41,11,8,19,46,61,-15,35.96
Santos,818,1237,340,217,261,1178,982,196,50.41
Sao Caetano,172,236,65,41,66,209,199,10,45.74
Sao Paulo,818,1324,365,229,224,1163,879,284,53.95
Sport,418,500,131,107,180,463,568,-105,39.87
Vasco,628,810,208,186,234,788,883,-95,42.99
Vitoria,396,468,123,99,174,492,581,-89,39.39
